acid,SCN3,protein
PI507166,S,44.8
PI504502,S,42.9
PI567527,MS,42.9
PI506654,S,41.8
PI506724,S,41.8
PI592941,,43.2
PI417552,S,42.3
PI567708,MS,47.5
PI438332,S,43.8
PI361090,S,44.4
PI437641B,MS,46.3
PI157474,MS,43.5
PI424205,MS,38.9
PI549041A,,45.5
PI594581,,41.2
PI503335,S,48.5
PI438000,MS,44.3
PI438006,S,44.9
PI561366,,45.2
PI567594B,S,49.4
PI398904,S,45.4
PI495831,S,40
PI602497A,,43.2
PI189903,S,41.7
PI437656,S,46.4
PI506722,S,42.3
PI424165,S,42.9
PI361084,S,40.6
PI398235,S,45.1
PI361097A,S,41.9
PI437474B,S,42.4
PI603393,,41.1
PI438002,S,43
PI567618A,S,45.7
PI567758,MS,43.3
PI507373,S,41.7
PI603704A,,42.6
PI243541,S,42.6
PI561239,,42
PI507517,S,43.9
PI561238,,46.9
PI437516,S,43.5
PI532437,S,45.8
PI438016C,S,45.3
PI180499,S,39.7
PI506916,S,43
PI438012,S,45.8
PI603332,,40.3
PI248406,S,39.6
PI438402,S,40.3
PI424581,S,41.7
PI438069A,S,45.7
PI416987,S,44.8
PI578493,,41.8
PI507073,S,41.5
PI538376,S,48
PI458086,S,45.5
PI438489B,,45.6
PI603319,,42
PI437356,S,42.2
PI438016B,S,43
PI437448,S,46.9
PI507501,S,43
PI417173,S,45.8
PI567571,MS,46.7
PI438001,MS,45.3
PI437597C,S,42.5
PI605794,,
PI229312,S,41.9
PI567597C,MS,49.9
PI416855,S,42.8
PI445801A,MS,42.3
PI438220,S,44.3
PI578504,,43.6
PI423950,S,44
PI398820,S,45.4
PI506726,S,43.4
PI189857,S,44.1
PI438011,S,42.1
PI438469,S,41.5
PI594478,,43.9
PI506573,S,44.5
PI567650A,S,45.2
PI417139,S,43.9
PI437882B,MS,44.2
PI594021,,44.6
PI437980,MS,44.1
PI532446,S,42.3
PI567262C,,49
PI408128,S,45.6
PI507204,S,44.1
PI507704B,MS,43.9
PI549041B,,47.8
PI506912,S,41.9
PI567534,S,45.3
PI538398,S,45
PI398397,MS,45
PI572265D,,47.8
PI567617B,S,51.1
PI567578B,S,43.9
PI437880,MS,44.1
PI532455B,S,48.2
PI567255B,,49
PI424269A,MS,45.4
PI507516,S,47.7
PI398283,S,46
PI549055,,42.6
PI507163,S,43.7
PI506528,S,41.2
PI423766,S,42.4
PI603379,,41.5
PI437505,S,48.1
PI567713A,MS,45.7
PI506592,S,42
PI518829,S,42
PI438193,MS,43.2
PI361080,S,46.5
PI378656A,S,41.6
PI417572B,S,42.8
PI567713B,S,45.3
PI506511,S,40.9
PI423835,S,42.6
PI437559,S,45.9
PI567627B,S,42.8
PI602499,,48.9
PI578499B,,44.6
PI417436,MS,45.9
PI567330,,47.3
PI423815,S,43.2
PI424329,MS,42.4
PI594489,,44.9
PI508293,S,47.4
PI423814A,S,44.3
PI567290A,MS,44.9
PI603698E,,47.3
PI506703,S,41.8
PI398482,S,45.8
PI532457,S,45.2
PI594304B,,41.5
PI518705,S,41.5
PI507711A,S,43.9
PI561342,,41.1
PI437541,MS,42.1
PI532468,S,45.5
PI398759,MS,43.5
PI532438,S,43.7
PI424467,S,47.3
PI424285A,MS,46.4
PI507447,S,44.2
PI507466,S,41.5
PI437879,MS,44.2
PI522192A,,41.8
PI398890,MS,44.3
PI437494,S,45.4
PI567216C,,43.1
PI506995,S,43.2
PI416958,S,43.1
PI567335A,MS,42.1
PI437704,S,42.1
PI438487,S,44.6
PI438010,S,44.9
PI438017,S,45.2
PI398808,S,43.7
PI479757,S,41.2
PI438005,S,45.2
PI603328,,42
PI437998,MS,43.9
PI507248,S,42.7
PI549057B,,42.5
PI437095,MS,45.7
PI243545,S,37.2
PI437486,S,42.8
PI567446,S,45.2
PI597422,,40.5
PI408179,S,45.7
PI567541C,S,45.2
PI578500,,41.4
PI424279,S,43.9
PI423946,S,45.2
PI408109A,S,43.4
PI567715,,48.8
PI605825C,,46.1
PI184045,S,35.9
PI200519,S,42.8
PI424201,S,46
PI438060,MS,44.6
PI438203,S,43.2
PI506864B,S,41.2
PI561345,,44.8
PI391584,S,44.1
PI445809,MS,42.4
PI423863A,S,45.6
PI437887C,S,44.2
PI393538,S,46.3
PI437275,MS,41.5
PI424277B,S,42.8
PI507152,S,41.7
PI437741,S,45.2
PI398750,S,46.6
PI437424,S,45.7
PI437882A,S,46.9
PI507316,S,43.9
PI438016A,MS,42.7
PI603489,,44.7
PI437686,S,45
PI508296B,S,49
PI179826,S,40.2
PI416870,S,44.5
PI467308B,S,41.7
PI567717C,,50.3
PI567219,,44
PI594618D,,46.2
PI507425,S,45.3
PI438004B,S,44.8
PI437224,MS,44.1
PI438007,MS,45.5
PI189878,S,46.4
PI507086,S,40.6
PI398295,S,45.8
PI506867,S,42
PI507471,MS,40.5
PI593941,,43
PI594779,,43.2
PI567174B,,42.4
PI578497B,,41.4
PI567617A,S,49.4
PI504496,S,42.8
PI567323A,MS,46.3
PI436684,S,42.3
PI578439,,47.1
PI424206,S,46.1
PI437165A,S,46.6
PI438004A,S,45.9
PI424379,S,44.1
PI458199,S,42
PI416872,S,44.9
PI430597,S,46.8
PI445826,MS,41.8
PI567617C,MS,48
PI506906,S,44.2
PI437997,S,45
PI437999,MS,44.9
PI243521,S,41.6
PI424209,S,45.4
PI506758,S,45.3
PI438209,S,42.9
PI567632A,S,48.3
PI507255,S,43.3
PI437792,S,43
PI567673A,S,44.9
PI445816A,MS,43
PI438009,MS,45.8
PI506723,S,41.6
PI603551C,,43.9
PI507699,S,42.1
PI437278,MS,43.6
PI561365,,45
PI438003,MS,43.5
PI243528,S,41.5
PI567665,S,48
PI507571,S,43.1
PI594401D,,43.7
PI458295,S,42.5
PI506728,S,40.7
PI567450,S,49
PI424356,S,43.5
PI189950,S,44.7
PI424168C,S,42.7
PI603360,,41.7
PI561299B,,44.4
PI507369,S,42.4
PI567275,,43.8
PI437102,S,45.1
PI437615B,MS,45.3
PI567656,S,45.5
PI605826B,,47
PI507164,S,41.3
PI398290,S,40.6
PI437168B,S,46
PI567684A,MS,41.8
PI384469C,S,44.3
PI507705,S,41.8
PI417434,S,44.3
PI594016,,43
PI398707,MS,43.4
PI567562B,S,44.4
PI507712,S,45.2
PI538380,S,46
PI532459,S,47
PI437878A,MS,45.1
PI445820B,MS,42.1
PI567224A,,43.8
PI416966,S,41.7
PI361095,S,41.2
PI398349,S,43.6
PI424541,MS,46.7
PI438014,S,44.6
PI603673B,,
PI518703,S,46.3
PI438008,S,44.8
PI507184B,S,41.1
PI603305,,38.4
PI507355,S,39.9
PI506631,S,41.3
PI561336,,46.7
PI507683,S,45.4
PI507063,S,41.8
PI597486,,48.3
PI506935,S,41.3
PI567591,MS,46.5
PI340052,S,46.6
PI561324,,45
PI594401E,,45.8
PI567210,,41.2
PI340036,S,44.8
PI532441B,S,46.4
PI408295B,S,40.5
PI229359,S,41.6
PI423890B,S,41.8
PI361117,S,45
PI423914A,S,42.3
PI507051,S,45.5
PI424272B,S,44.6
PI567671A,MS,48.7
PI506900,S,40
PI416884,MS,44.3
PI567717A,,49.7
PI437894,S,43.9
PI507685A,S,43.7
PI567669,MS,50.7
PI437590,S,44.4
PI437607,S,44.3
PI437347,S,39.3
PI509085,S,47.6
PI437609B,S,44.7
PI587987C,,42.8
PI438215,MS,46.5
PI561341A,,41.3
PI506693,S,43.5
PI438158B,S,41.9
PI603399,,42.7
PI442010,S,46.5
PI567222,,42.5
PI507168,S,41.3
PI567702B,MS,51.3
PI423843,S,46
PI567711A,,50.2
PI567607A,S,44.8
PI549056,,41.9
PI567696C,MS,50.3
PI438264,MS,43.8
PI507174,S,45.8
PI567621B,S,45.1
PI253665D,S,41.9
PI416953,S,45.1
PI416978,S,42.4
PI445827A,S,41.7
PI567724,,47.1
PI538404,S,41.7
PI430457,MS,39.8
PI567296C,S,46.3
PI438208,S,44.1
PI437155,S,41.6
PI603322,,42.4
PI437595,S,43.9
PI561229,,46.6
PI536547B,S,44.9
PI594620,,43.4
PI594399C,,45.6
PI437250,MS,41.7
PI603764B,,48.1
PI567598B,S,48.4
PI538394,S,43.6
PI507229,S,45.6
PI274208,S,46
PI507681B,S,42.9
PI398247,S,44.3
PI417482,S,46.2
PI437844A,MS,44.3
PI437097,S,43.4
PI507021,S,40.5
PI507711B,S,42.6
PI408067A,S,44.3
PI423870,S,45.9
PI567616,S,46.6
PI506989,S,44
PI567688B,MS,45.1
PI592961,,43.4
PI417176,S,46.8
PI458244C,S,43.4
PI507175,S,42.5
PI507153,S,41.7
PI437169A,S,41.4
PI567557,S,50
PI588052A,,42.7
PI567595A,S,48.6
PI407725B,S,43.8
PI437440,S,45.9
PI567713C,S,48.7
PI438299,S,46.6
PI578432A,,41
PI594696A,,45.9
PI437900,MS,45.9
PI261467,S,43
PI567546,S,48.8
PI408138B,S,47.5
PI424140,S,42.8
PI594465,,
PI261468,S,41.7
PI340021A,S,45.1
PI567337,MS,42.1
PI561367,,42.6
PI594609,,42
PI561230,,45.9
PI597652,,42.8
PI594799B,,44.7
PI603648,,47.5
PI603661A,,46.3
PI437092,S,41.9
PI423927,,42.7
PI442025,MS,40.5
PI567674,S,49
PI437985A,MS,44.5
PI438013,S,42.9
PI442038A,MS,42.3
PI532472,,42.3
PI587980C,,46.6
PI594713,,47
PI437100,S,41
PI424377,S,46.5
PI297499,S,45.5
PI549045A,,50.6
PI424352,S,43.3
PI506837,S,45.3
PI437979,MS,45
PI561389A,,44
PI567699,MS,50.2
PI437848B,MS,43.7
PI437872,S,42.4
PI424349A,S,46.2
PI506803,S,40.5
PI567600,S,49.1
PI587845,,45.4
PI507460,S,42.3
PI587979B,,46.6
PI507464,S,41.5
PI438213,S,43.6
PI567595B,MS,48.5
PI507468,S,42.5
PI567667B,S,46.5
PI437756B,S,44.8
PI578473A,,46.7
PI437888A,S,45.3
PI561323,,46.7
PI437232,S,40.5
PI290130,S,42.9
PI437175,S,43.1
PI506785,S,41.9
PI567615,MS,46.2
PI506903,S,42.7
PI603563A,,46.5
PI567698B,S,48.4
PI567448,MS,48.2
PI437456,S,44.8
PI458176,MS,44.3
PI437716A,S,48.2
PI506840A,S,42.5
PI594587,,42.5
PI594618B,,46.3
PI506782,S,42.5
PI594708B,,46
PI538386B,S,43.3
PI424155A,S,43.9
PI398875,S,46.5
PI378658,S,41
PI594508,,46.1
PI437701,S,42.5
PI417425,S,43.4
PI603778,,
PI567590B,MS,46.6
PI603698F,,41.5
PI506669,S,41.2
PI567291,S,44
PI567447C,MS,42.1
PI518715,S,42.5
PI567673B,S,46.3
PI229336,S,40.9
PI372416A,S,43.8
PI437643B,MS,44.1
PI393537,S,47.6
PI507392,S,42.4
PI458236A,MS,46.4
PI417559,S,46.7
PI506840B,S,42.3
PI561350B,,47.2
PI507442B,S,42.1
PI507567,S,47.2
PI506894,S,43.3
PI360957,S,43.3
PI594583,,39.6
PI594693A,,45.5
PI506825,S,40.2
PI438257B,MS,43.8
PI398621,MS,44.8
PI578501,,41.8
PI567284,,46.7
PI547880,,
PI547881,,
PI518671,S,42.6
PI547884,,
PI542044,,44.1
PI547878,,
PI547877,,
PI547842,,
PI547879,,
PI547890,,
PI591530,,
PI547868,,
PI547848,,
PI547873,,
PI591507,,
PI547850,,
PI547876,,
PI518672,,43.1
PI547856,,
PI547849,,
PI547838,,
PI591512,,
PI591528,,
PI548636,,41
PI547862,,
PI547893,,
PI548555,,39.9
PI547875,,
PI591505,,
PI547835,,
PI574532,,
PI591503,,
PI547874,,
PI547882,,
PI590932,,40.4
PI547852,,
PI591524,,41.91
PI547832,,
PI547885,,
PI547851,,
PI547484,,
PI547865,,
PI591509,,
PI534648,,43.2
PI548541,,42.4
PI591536,,
PI547438,,
PI547465,,
PI547834,,
PI591522,,42.03
PI591525,,42.47
PI591508,,42.24
PI547455,,
PI547846,,
PI547427,,
PI547486,,
PI547555,,
PI547833,,
PI547632,,
PI591492,,
PI542043,,45.2
PI547479,,
PI547590,,
PI547602,,
PI547423,,
PI547652,,
PI591510,,
PI547531,,
PI547635,,
PI542711,,44.5
PI547428,,
PI547468,,
PI547406,,
PI547663,,
PI547664,,
PI591515,,
PI547419,,
PI547460,,
PI547532,,
PI547553,,
PI547616,,
PI591493,,
PI547488,,
PI591527,,
PI612594,,41.8
PI547425,,
PI547435,,
PI547451,,
PI547461,,
PI547464,,
PI591491,,
PI547422,,
PI547466,,
PI547540,,
PI547594,,
PI547424,,
PI547657,,
PI547853,,
PI548574,,38.2
PI560206,,45.7
PI547432,,
PI547629,,
PI547630,,
PI547665,,
PI547591,,
PI547477,,
PI547559,,
PI547673,,
PI597382,,42.3
PI636695,,
PI547518,,
PI547524,,
PI548533,,41.1
PI547482,,
PI547603,,
PI547864,,
PI548598,,44.9
PI591504,,
PI547410,,
PI547417,,
PI547429,,
PI547861,,
PI518667,,42
PI547415,,
PI547470,,
PI547645,,
PI591519,,
PI547414,,
PI547463,,
PI578057,,41.8
PI591496,,
PI591517,,
PI547409,,
PI547436,,
PI547542,,
PI547547,,
PI547413,,
PI547597,,
PI591487,,
PI547462,,
PI547492,,
PI547560,,
PI597384,,
PI547538,,
PI547562,,
PI547595,,
PI548549,,42.7
PI547550,,
PI547638,,
PI548556,,41.6
PI591523,,43.1
PI518675,,40.2
PI547626,,
PI547421,,
PI547519,,
PI547637,,
PI548585,,39.6
PI547408,,
PI547448,,
PI547469,,
PI547592,,
PI547614,,
PI547649,,
PI547854,,
PI548532,,39.3
PI547515,,
PI547517,,
PI518674,,42.6
PI540551,,37.8
PI547551,,
PI547622,,
PI547656,,
PI548542,,39.6
PI591498,,
PI518673,,42.9
PI547522,,
PI548562,,41.3
PI633608,,
PI547416,,41.83
PI547545,,
PI547643,,
PI548538,,45.3
PI547552,,
PI547655,,
PI633983,,
PI547589,,
PI548531,,41.4
PI547633,,
PI547528,,
PI547855,,
PI567902,,43.4
PI547631,,
PI547871,,
PI548522,,45.1
PI547418,,
PI586980,,39.7
PI548565,,43
PI576146,,40.5
PI595363,,42.8
PI547458,,
PI547611,,
PI547641,,
PI547798,,
PI547845,,
PI547495,,
PI548635,,40.5
PI547478,,
PI591521,,
PI547623,,
PI593256,,43.5
PI547612,,
PI547669,,
PI547803,,
PI547886,,
PI547412,,
PI547647,,
PI548298,S,40.6
PI548502,,38.5
PI547508,,
PI547510,,
PI547576,,
PI632424,,
PI547493,,
PI547600,,
PI593463,,41.9
PI595843,,39.3
PI597386,,38.2
PI547453,,
PI547476,,
PI547801,,
PI632402,,
PI547651,,
PI564718,,43.9
PI548634,,39.3
PI547471,,
PI547872,,
PI572295,,
PI547860,,
PI612736,,40.1
PI547446,,
PI547644,,
PI547837,,
PI548519,,38.9
PI595926,,42.1
PI632431,,
PI547480,,
PI632426,,
PI548509,,43.6
PI613055,,
PI644024,,
PI509044,,39.4
PI557536,,
PI547473,,
PI547487,,
PI547601,,
PI547675,,
PI548611,,40.9
PI576145,,37.7
PI540555,,45.6
PI547499,,
PI547511,,
PI547618,,
PI547858,,
PI572294,,
PI547888,,
PI591506,,
PI606748,,42.4
PI547474,,
PI547654,,
PI547891,,
PI548530,,41
PI546373,,39.6
PI547431,,
PI547556,,
PI547558,,
PI559931,,46.8
PI591488,,
PI518668,,43
PI547648,,
PI547405,,
PI547615,,
PI548558,,40.3
PI548566,,43.7
PI548609,,43
PI612719,,40.4
PI547599,,
PI597385,,
PI548521,,41
PI548569,,38.9
PI547530,,
PI547575,,
PI612750,,39
PI537095,,40.9
PI540556,,39.3
PI547563,,
PI642768,,
PI542710,,40.7
PI567791,,42.9
PI593257,,
PI547449,,
PI591499,,
PI525453,,39.1
PI547485,,
PI548633,,41.3
PI597383,,
PI602060,,37.9
PI543794,,43.5
PI547526,,
PI547574,,
PI548563,,39.9
PI548632,,44.1
PI591539,,
PI639630A,,
PI599299,,35.3
PI612738,,39.8
PI547444,,
PI547529,,
PI548626,,39.8
PI546487,,45.1
PI547475,,
PI547613,,
PI584470,,43.5
PI547800,,
PI612739,,
PI518676,,36.2
PI548546,,38.9
PI548547,,44.6
PI572244,,40.4
PI578335B,,44.3
PI508083,,40.8
PI536635,,45.2
PI557535,,
PI567404A,S,43.6
PI612763,,38.8
PI629008,,
PI547426,,
PI547447,,
PI614808,,40.5
PI547459,,
PI547840,,
PI548318,MS,39.1
PI557011,,44
PI632423,,
PI547593,,
PI547813,,
PI577798,,42.9
PI639740,,
PI547442,,
PI561700,,43.1
PI547527,,
PI599300,,38.8
PI212716,S,42.6
PI221716,S,42.1
PI371610,,41.6
PI540554,,45.6
PI547513,,
PI548391,S,42.5
PI597655,,
PI597656,,
PI612744,,37.8
PI518663,,39.6
PI547420,,
PI548560,S,38.5
PI548622,,42.9
PI583837,,41.8
PI533654,,43.5
PI542403,,40.3
PI547544,,
PI548507,,43
PI591538,,
PI547863,,
PI374221,S,42.5
PI547659,,
PI548421,S,40.7
PI548602,,40.2
PI548616,,40.4
PI597660,,
PI629004,,42.8
PI547507,,
PI547869,,
PI548621,,41.1
PI567789,,44.4
PI639283,,
PI548516,,39.8
PI597661,,
PI547543,,40.08
PI547554,,
PI557010,,42.1
PI591513,,
PI547500,,
PI547525,,
PI548524,,43.1
PI548529,,41.8
PI546375,,39.9
PI547501,,
PI583364,,35.2
PI548499,,42.2
PI561400,,41.6
PI612932,,41.2
PI547430,,
PI547672,,
PI547894,,
PI596412,,
PI598222,,39.9
PI547505,,
PI548372,MS,40.9
PI548590,,40.6
PI548656,S,45.1
PI602059,,38.1
PI642732,,
PI508269,,40.6
PI547516,,
PI548629,,39.5
PI564276,,
PI607385,,42.1
PI539863,,47.1
PI547566,,
PI548371,MS,40.6
PI548581,,40.3
PI548652,,44.7
PI547533,,
PI548579,,43
PI583366,,42.4
PI628821,,
PI542042,,46.6
PI547456,,
PI548540,,43.6
PI548576,,46.1
PI590931,,39.9
PI591531,,
PI542404,MS,40.5
PI548548,,40.9
PI542768,,44
PI546038,,46.4
PI547483,,
PI548534,S,40.5
PI572297,,
PI592524,,38.6
PI636462,,
PI587091,,40
PI639633B,,
PI547443,,
PI548506,,39.5
PI562373,,43.4
PI595754,,40.5
PI632401,,
PI355068,,44.8
PI544354,,41.1
PI547557,,
PI547817,,
PI548311,S,42
PI583295,,
PI592560,,45.9
PI437854,S,42.6
PI471931,S,39.3
PI513382,,41
PI547496,,
PI518665,,41.4
PI547588,,
PI547887,,
PI548512,,43.2
PI548620,,44
PI561405,,42.57
PI547440,,
PI591497,,
PI547750,,
PI548505,,37.9
PI548568,,40.9
PI548597,,44.3
PI612608,S,43.3
PI547870,,
PI548536,,41.4
PI548610,,45.1
PI638511,,
PI423758,S,45.8
PI424585,S,46.6
PI508266,S,45
PI518771,S,
PI533605,,37.4
PI547561,,
PI547679,,41.74
PI548406,S,41.5
PI548554,,42.6
PI548665,,42.9
PI599333,,42.5
PI636691,,
PI647962,,
PI547715,,
PI567785,,45.6
PI632656B,,
PI407910,MS,47.1
PI518669,,39.4
PI548599,,40.3
PI597653,,
PI597654,,
PI612717,,37.9
PI511361,,
PI547514,,
PI548314,S,40.7
PI548384,,40.4
PI548525,,43.7
PI548586,,41
PI612764,,37.3
PI629005,,40.3
PI639630B,,
PI542045,,40.1
PI548383,,41.1
PI548517,,47
PI632943B,,
PI547662,,
PI548969,,
PI559369,S,43.6
PI573008,,40.1
PI596413,,
PI639631,,
PI423736B,S,43.8
PI603358A,,41
PI612740,,40.7
PI398646,S,45.7
PI547695,,
PI547719,,
PI547771,,
PI548571,S,42.1
PI597659,,
PI548330,S,40.9
PI553038,,41.4
PI606749,,40.2
PI641156,,
PI509086,S,41.6
PI548518,,44.4
PI548573,,41.2
PI548641,,39.2
PI330633,S,45.1
PI547676,,
PI547725,,
PI548369,S,41.4
PI548381,,42.6
PI548527,,45.2
PI548551,,43.2
PI597381,,38.5
PI518664,,41.5
PI548663,S,41.2
PI568262,,
PI398635,S,50.3
PI548991,,40.7
PI559934,,42.7
PI603953,,40.4
PI628960,,
PI518297,S,45.8
PI534647,,41.9
PI591514,,40.83
PI591542,,
PI628848A,,
PI399045,,41.2
PI437592,S,41.3
PI442017,S,43.4
PI547434,,
PI547723,,
PI548340,S,42.6
PI548390,S,42.3
PI595765,,42.1
PI603534A,,41.6
PI408100A,S,43.8
PI408168,MS,42.5
PI438347,S,44.5
PI458069,S,47.7
PI543855,,38.1
PI548297,S,42.1
PI548637,,40.3
PI548661,MS,45.2
PI568260,,
PI603218,,
PI647961,,
PI324924,MS,38.4
PI548528,,45.4
PI561330A,,43.8
PI614831,,40.1
PI615510A,,
PI615585,,40.8
PI634813,,
PI417581,S,45.7
PI542402,,40.2
PI594568A,,46
PI602448,,
PI408146,S,43
PI408167B,S,44
PI548333,S,42
PI548510,,44.2
PI561572,,
PI536636,,38.6
PI596414,,42.5
PI608726,,39.8
PI613561,,
PI518772,,
PI548643,,42.6
PI591516,,
PI591548,,41.28
PI615582,,41.2
PI631123,,
PI633610,,41.8
PI647960,,
PI398928,S,41.9
PI507479,S,43.9
PI540552,,40.6
PI547751,,
PI548513,,43.8
PI548584,,41
PI548678,,40.1
PI628943,,
PI633970,,
PI636463,,
PI639634,,
PI423751,S,48.5
PI547777,,43.27
PI548617,,42.9
PI548981,,44.5
PI567553,S,45.7
PI398393,S,43.4
PI408161,S,45.9
PI408339,S,41.3
PI548364,,40.2
PI548370,S,41.4
PI603164,,47.3
PI612711A,,40.5
PI615556,,
PI342002,S,41.5
PI408250,,46.6
PI542046,,44.5
PI547691,,
PI547826,,
PI548577,,41.5
PI548654,MS,39
PI548779,,
PI607835,,40.7
PI644059,,
PI279648,,42.4
PI371612,S,43.1
PI408159,S,49.6
PI408167A,S,43
PI507098,S,39.4
PI548300,S,40
PI548537,,43.2
PI628852,,
PI398651,MS,47.7
PI398662,S,47.1
PI548404,S,44
PI548658,S,43.4
PI561860,,48.6
PI601982,,47.8
PI424562,MS,45.9
PI458172B,S,46.6
PI547439,,
PI628903,,
PI639632B,,
PI398629,S,44.2
PI612615,,41.6
PI612617A,,41.6
PI632352,,
PI644051,,
PI424578,S,39.9
PI547564,,
PI553050,,40.6
PI612705,,41.7
PI416785,S,48
PI547504,,
PI548625,,44
PI604464,,
PI614833,,36.8
PI619232,,41.7
PI408142,S,47.4
PI408180-1,S,47.3
PI424577,S,38.9
PI547546,,
PI548640,,41.1
PI548989,S,43.1
PI561575,,
PI230976,S,44.6
PI407859-1,MS,47.5
PI408157,S,43.5
PI508298,S,48.9
PI547699,,
PI548644,,39.3
PI592756,,43.3
PI593653,,43.2
PI602449,,
PI605781A,,45
PI628833,,
PI628908,,
PI408158,S,43.2
PI408269C,S,44.7
PI416768,S,43.5
PI533655,,43.3
PI594922,,41.7
PI603720,,47.2
PI612718,,40.3
PI628879,,
PI398515,S,45.8
PI398676,S,47.2
PI408240,S,44.1
PI518756,MS,45.9
PI547627,,
PI547859,,
PI567282B,,42.7
PI572239,,39.3
PI584506,,47
PI636461,,
PI639628,,
PI548373,,42.3
PI548567,,38.8
PI548596,,41.8
PI603513A,,46.3
PI612157,,41.6
PI628813,,
PI628877,,
PI655521,,
PI398491,S,
PI548504,S,40.5
PI632668,,
PI399102,S,46.8
PI407808-1,S,51.5
PI407846,MS,45.8
PI509092,S,42.8
PI628820,,
PI639632A,,
PI644056,,
PI506690,S,43.1
PI508267,S,41.5
PI547754,,
PI561291,,43.1
PI594822,,
PI596407,,41.4
PI612714B,,38.5
PI619083,,
PI209908,S,45.7
PI377578,MS,43.1
PI399052,,47.3
PI547687,,
PI547766,,
PI556738,,43.6
PI567282A,,46.6
PI576440,,46.2
PI594498B,,45.3
PI628880,,
PI548309,S,39.7
PI548345,,40.1
PI548575,,42
PI594015,,43.9
PI615586,,41.5
PI634193,,
PI201431,S,44
PI398665,,46.1
PI407804,MS,48.7
PI408317,S,45.2
PI547541,,
PI548396,MS,40.8
PI548403,,42.7
PI628961,,
PI398184,S,44.6
PI398798,S,48.7
PI407919,S,45.5
PI407945,S,45.6
PI407961-1,S,45.9
PI408144,S,46.6
PI408184B,S,44.9
PI509104,S,43.1
PI536009,,43.1
PI548344,S,39.9
PI548355,MS,42.2
PI572265A,,48.6
PI591433,,
PI603627,,47.3
PI615499,,
PI615694,,40.3
PI628812,,
PI632427,,
PI379618,S,42.4
PI398377,,44.7
PI398437,MS,43.2
PI398520,S,43.2
PI398585,MS,44.9
PI399123,S,49.1
PI416894D,,45
PI417375,S,45.3
PI458021,S,43.3
PI458070C,S,46.8
PI458150B,S,42.9
PI542769,,47.2
PI547753,,
PI548411,MS,39.4
PI603536,,45.6
PI612708C,,41
PI612708D,,39.6
PI615444,,
PI340043,S,45.8
PI398362,MS,45.7
PI398812,S,40
PI407994,S,46.9
PI408002,S,45.2
PI423782,S,47.6
PI459025D,,
PI506977,S,46.4
PI507478,S,42.6
PI548433,S,44.7
PI548501,,41.2
PI567310B,,45.9
PI612146,,41.8
PI628929,,
PI639629,,
PI170895,MS,42.1
PI374220,S,44.9
PI398390,S,46.1
PI398653,MS,47.7
PI398756,S,46.2
PI398818,S,40.5
PI399096,S,47.6
PI407957,S,50.4
PI424434,S,43.8
PI442014,S,46.4
PI458239,S,47.2
PI547472,,
PI547491,,
PI547686,,
PI547783,,
PI547802,,
PI547857,,
PI548400,MS,43.4
PI561378,,44.3
PI572241,,43.6
PI578329C,,43
PI591541,,42.01
PI591543,,
PI594005E,,51.3
PI632650,,
PI636460,,
PI221717,S,44.9
PI224273,S,44.5
PI227158,S,43.4
PI398335,S,41
PI398715,S,48.5
PI398745,S,45.3
PI408305,S,45
PI423773,S,45.2
PI547520,,
PI547565,,
PI547685,,
PI547768,,
PI547782,,
PI548500,MS,38.6
PI548550,,44.5
PI548662,S,44.4
PI572243,,48.2
PI602496,,46.5
PI602896,,41.6
PI612709B,,41.5
PI612710,,43.6
PI628870,,
PI628897,,
PI166147,S,45.6
PI210352,S,44.4
PI398304,,45.6
PI398671,S,47.2
PI398690,S,45.2
PI407821B,S,45.8
PI442009B,S,46.1
PI546039,,
PI547693,,
PI548660,S,44.7
PI570668,,45.6
PI603461,,44.9
PI633424,,
PI123440,S,47.9
PI407937-2,S,44.7
PI408007,S,46.1
PI543795,,42
PI547745,,
PI553046,S,42.6
PI553047,,41.4
PI629013,,
PI639568,,
PI398517,S,44.2
PI398628,S,
PI407909,S,46.7
PI417392,S,46.6
PI506778,S,45.4
PI507256,S,40.9
PI546043,,
PI548322,S,40
PI548986,,45
PI564524,,40.9
PI594432,,45.1
PI594515,,46.1
PI603525,,49
PI612713A,,39.7
PI632658,,
PI210353,S,43.9
PI398583,S,47.3
PI424602,S,49.9
PI547450,,
PI561702,,44.3
PI567502,MS,42.1
PI594492B,,49.1
PI594555B,,47.2
PI603528,,46.4
PI629015,,
PI632649,,
PI205384,S,44.3
PI227159,S,45
PI398576,MS,46.4
PI407961-2,S,49.2
PI407982,S,47.2
PI408181C,S,45.2
PI416794,S,44
PI423724,S,45.6
PI506956,S,44.5
PI542712,,41.5
PI547407,,
PI547596,,
PI547650,,
PI548386,,43.5
PI548570,,41.1
PI548600,,41
PI594744,,
PI603703A,,48.8
PI605888,,48.9
PI605896B,,45.4
PI639627,,
PI230977,S,42
PI399115,S,47.9
PI407877C,S,45.3
PI416808,S,46.6
PI417194,S,47
PI424534,S,45.7
PI458025,MS,48.6
PI507426,S,42.2
PI547404,,
PI548321,S,45.5
PI548375,MS,42.2
PI548394,,41.2
PI548588,,42.2
PI567188,,44.9
PI587603D,,43.5
PI594475A,,54.1
PI612715,,39.3
PI632640C,,
PI644057,,
PI309655C,,51
PI381668,MS,43.5
PI398286,S,46.3
PI398340,S,44.6
PI398387,S,46.2
PI398528,,44.8
